"","baffle_prop","density","bush_density","male_prop","tactic","mean_success","sd","ci"
"1",0.01,0.5,1,0.5,"baffler",0.26,0.365701208279893,0.071677436822859
"2",0.05,0.5,1,0.5,"baffler",0.338333333333333,0.189445110932208,0.0371312417427128
"3",0.09,0.5,1,0.5,"baffler",0.299545454545455,0.134916564360508,0.0264436466146595
"4",0.13,0.5,1,0.5,"baffler",0.301875,0.107999558664456,0.0211679134982333
"5",0.17,0.5,1,0.5,"baffler",0.309285714285714,0.110361053186867,0.0216307664246259
"6",0.21,0.5,1,0.5,"baffler",0.295471698113208,0.103837497860865,0.0203521495807296
"7",0.25,0.5,1,0.5,"baffler",0.28,0.0986438274510083,0.0193341901803976
"8",0.29,0.5,1,0.5,"baffler",0.280958904109589,0.0847911238205077,0.0166190602688195
"9",0.33,0.5,1,0.5,"baffler",0.266707317073171,0.0886320397981422,0.0173718798004359
"10",0.37,0.5,1,0.5,"baffler",0.266195652173913,0.0855660541170068,0.0167709466069333
"11",0.41,0.5,1,0.5,"baffler",0.253592233009709,0.0900063625619625,0.0176412470621447
"12",0.45,0.5,1,0.5,"baffler",0.261517857142857,0.0846401000975714,0.016589459619124
"13",0.49,0.5,1,0.5,"baffler",0.252950819672131,0.0922070521088479,0.0180725822133342
"14",0.53,0.5,1,0.5,"baffler",0.246666666666667,0.0858067147367953,0.0168181160884119
"15",0.57,0.5,1,0.5,"baffler",0.240699300699301,0.0847138972025345,0.0166039238516968
"16",0.61,0.5,1,0.5,"baffler",0.241907894736842,0.0875639323863402,0.0171625307477227
"17",0.65,0.5,1,0.5,"baffler",0.23,0.082031064594715,0.0160780886605641
"18",0.69,0.5,1,0.5,"baffler",0.224450867052023,0.0831182494119361,0.0162911768847395
"19",0.73,0.5,1,0.5,"baffler",0.227142857142857,0.0798112326264251,0.0156430015947793
"20",0.77,0.5,1,0.5,"baffler",0.224583333333333,0.0873068856617312,0.0171121495896993
"21",0.81,0.5,1,0.5,"baffler",0.215693069306931,0.0762240984829389,0.014939923302656
"22",0.85,0.5,1,0.5,"baffler",0.224622641509434,0.0787613870857194,0.015437231868801
"23",0.89,0.5,1,0.5,"baffler",0.21954954954955,0.0791796853727575,0.0155192183330605
"24",0.93,0.5,1,0.5,"baffler",0.21375,0.0814314162002946,0.0159605575752577
"25",0.97,0.5,1,0.5,"baffler",0.207314049586777,0.0820793233877316,0.0160875473839954
"26",0.01,0.5,1,0.5,"caller",0.394987989004167,0.0768476275733903,0.0150621350043845
"27",0.05,0.5,1,0.5,"caller",0.377931443763946,0.0790457842471894,0.0154929737124491
"28",0.09,0.5,1,0.5,"caller",0.35536959063828,0.0814895118852754,0.015971944329514
"29",0.13,0.5,1,0.5,"caller",0.349985061642314,0.0840241503751653,0.0164687334735324
"30",0.17,0.5,1,0.5,"caller",0.324358626572362,0.0985748695907509,0.0193206744397872
"31",0.21,0.5,1,0.5,"caller",0.314636639463165,0.0897179787085448,0.0175847238268748
"32",0.25,0.5,1,0.5,"caller",0.312117284653019,0.0940043996560632,0.0184248623325884
"33",0.29,0.5,1,0.5,"caller",0.289368696993998,0.0828826587214354,0.0162450011094013
"34",0.33,0.5,1,0.5,"caller",0.29952286497908,0.0933547030236157,0.0182975217926287
"35",0.37,0.5,1,0.5,"caller",0.294608716574073,0.0915306534537846,0.0179400080769418
"36",0.41,0.5,1,0.5,"caller",0.275908768357398,0.0915702774845753,0.0179477743869768
"37",0.45,0.5,1,0.5,"caller",0.281576039241134,0.089613913831634,0.0175643271110003
"38",0.49,0.5,1,0.5,"caller",0.26936755952381,0.101767382445495,0.0199464069593171
"39",0.53,0.5,1,0.5,"caller",0.283631917315205,0.11449805978274,0.022441619717417
"40",0.57,0.5,1,0.5,"caller",0.263081089071655,0.0956727018908245,0.0187518495706016
"41",0.61,0.5,1,0.5,"caller",0.267851172383847,0.107875298451952,0.0211435584965826
"42",0.65,0.5,1,0.5,"caller",0.267122218866405,0.107273381974397,0.0210255828669818
"43",0.69,0.5,1,0.5,"caller",0.255533428165007,0.120528640942118,0.0236236136246551
"44",0.73,0.5,1,0.5,"caller",0.267851492869875,0.115141532314586,0.0225677403336588
"45",0.77,0.5,1,0.5,"caller",0.24179802955665,0.120081654365208,0.0235360042555808
"46",0.81,0.5,1,0.5,"caller",0.260434782608696,0.138639509938655,0.0271733439479763
"47",0.85,0.5,1,0.5,"caller",0.235361197110423,0.123740384243369,0.0242531153117003
"48",0.89,0.5,1,0.5,"caller",0.267087912087912,0.142790730141937,0.0279869831078196
"49",0.93,0.5,1,0.5,"caller",0.244722222222222,0.179356721077537,0.0351539173311972
"50",0.97,0.5,1,0.5,"caller",0.2475,0.280905372470568,0.0550574530042312
"51",0.01,0.5,1,0.5,"silent",0.296582205936456,0.0579041161545192,0.0113492067662858
"52",0.05,0.5,1,0.5,"silent",0.292203330092367,0.0551166704194037,0.0108028674022031
"53",0.09,0.5,1,0.5,"silent",0.282967295367161,0.0541047360085778,0.0106045282576812
"54",0.13,0.5,1,0.5,"silent",0.270574672372838,0.0544258973043859,0.0106674758716596
"55",0.17,0.5,1,0.5,"silent",0.256468449789204,0.0560053879486382,0.0109770560379331
"56",0.21,0.5,1,0.5,"silent",0.257261081402258,0.0725558857366062,0.0142209536043748
"57",0.25,0.5,1,0.5,"silent",0.24877445543421,0.0688485711499971,0.0134943199453994
"58",0.29,0.5,1,0.5,"silent",0.225225981259689,0.0605205095451832,0.0118620198708559
"59",0.33,0.5,1,0.5,"silent",0.239802032440883,0.0674585595969623,0.0132218776810046
"60",0.37,0.5,1,0.5,"silent",0.239382683310709,0.0687959381553966,0.0134840038784577
"61",0.41,0.5,1,0.5,"silent",0.228533604837714,0.0655048824481667,0.0128389569598407
"62",0.45,0.5,1,0.5,"silent",0.232245122911381,0.0748017330035667,0.0146611396686991
"63",0.49,0.5,1,0.5,"silent",0.238004807692308,0.0725707786957968,0.0142238726243762
"64",0.53,0.5,1,0.5,"silent",0.228670139853663,0.0720042103776564,0.0141128252340207
"65",0.57,0.5,1,0.5,"silent",0.219339686169875,0.0747726731687714,0.0146554439410792
"66",0.61,0.5,1,0.5,"silent",0.228523729491797,0.0676588953360328,0.0132611434858624
"67",0.65,0.5,1,0.5,"silent",0.216157883179622,0.0760295489907208,0.0149017916021813
"68",0.69,0.5,1,0.5,"silent",0.231698717948718,0.0832073427974781,0.0163086391883057
"69",0.73,0.5,1,0.5,"silent",0.233579831932773,0.0947167887792767,0.0185644906007382
"70",0.77,0.5,1,0.5,"silent",0.213770114942529,0.0820588765705931,0.0160835398078362
"71",0.81,0.5,1,0.5,"silent",0.244716666666667,0.109684031200247,0.0214980701152484
"72",0.85,0.5,1,0.5,"silent",0.228165413533835,0.117235304957026,0.0229781197715771
"73",0.89,0.5,1,0.5,"silent",0.213285714285714,0.139977870592851,0.0274356626361989
"74",0.93,0.5,1,0.5,"silent",0.210777777777778,0.164284927332962,0.0321998457572606
"75",0.97,0.5,1,0.5,"silent",0.225,0.25,0.049
