"","baffle_prop","density","bush_density","prop_males","mean_baffle_success","mean_caller_success","mean_silent_success","sd_baffle_success","sd_caller_success","sd_silent_success","ci_baffle_success","ci_calller_success","ci_silent_success"
"1",0,0.01,0,0.5,NA,NA,0.00248,NA,NA,0.0031542179552293,NA,NA,0.000618226719224943
"2",0,0.01,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",0,0.01,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",0,0.01,1.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",0,0.01,1.625,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",0,0.01,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",0,0.05,0,0.5,NA,NA,0.01136,NA,NA,0.00624664758575398,NA,NA,0.00122434292680778
"8",0,0.05,0.5,0.5,NA,NA,0.04196,NA,NA,0.0136625418756925,NA,NA,0.00267785820763573
"9",0,0.05,1,0.5,NA,NA,0.025,NA,NA,0.00927906299693078,NA,NA,0.00181869634739843
"10",0,0.05,1.5,0.5,NA,NA,0.01888,NA,NA,0.00804191042180421,NA,NA,0.00157621444267363
"11",0,0.05,1.625,0.5,NA,NA,0.01948,NA,NA,0.00831024680862139,NA,NA,0.00162880837448979
"12",0,0.05,2,0.5,NA,NA,0.01484,NA,NA,0.00824464319507772,NA,NA,0.00161595006623523
"13",0,0.1,0,0.5,NA,NA,0.02236,NA,NA,0.00775576683455087,NA,NA,0.00152013029957197
"14",0,0.1,0.5,0.5,NA,NA,0.08804,NA,NA,0.0199999595959188,NA,NA,0.00391999208080008
"15",0,0.1,1,0.5,NA,NA,0.0502,NA,NA,0.0155946118640997,NA,NA,0.00305654392536354
"16",0,0.1,1.5,0.5,NA,NA,0.03716,NA,NA,0.0123294178879031,NA,NA,0.00241656590602901
"17",0,0.1,1.625,0.5,NA,NA,0.03512,NA,NA,0.0125410678906696,NA,NA,0.00245804930657124
"18",0,0.1,2,0.5,NA,NA,0.03164,NA,NA,0.0110549773971965,NA,NA,0.00216677556985051
"19",0,0.25,0,0.5,NA,NA,0.05396,NA,NA,0.0160150938905531,NA,NA,0.00313895840254841
"20",0,0.25,0.5,0.5,NA,NA,0.2176,NA,NA,0.0342067392497591,NA,NA,0.00670452089295278
"21",0,0.25,1,0.5,NA,NA,0.13344,NA,NA,0.024238011719636,NA,NA,0.00475065029704866
"22",0,0.25,1.5,0.5,NA,NA,0.09604,NA,NA,0.0200483859145263,NA,NA,0.00392948363924716
"23",0,0.25,1.625,0.5,NA,NA,0.09132,NA,NA,0.0199883198216591,NA,NA,0.00391771068504518
"24",0,0.25,2,0.5,NA,NA,0.07976,NA,NA,0.0160284595376947,NA,NA,0.00314157806938815
"25",0,0.5,0,0.5,NA,NA,0.11216,NA,NA,0.0186573136741427,NA,NA,0.00365683348013198
"26",0,0.5,0.5,0.5,NA,NA,0.44668,NA,NA,0.0414877078059261,NA,NA,0.00813159072996151
"27",0,0.5,1,0.5,NA,NA,0.2492,NA,NA,0.0337045990927054,NA,NA,0.00660610142217027
"28",0,0.5,1.5,0.5,NA,NA,0.189,NA,NA,0.0276799894902765,NA,NA,0.0054252779400942
"29",0,0.5,1.625,0.5,NA,NA,0.1754,NA,NA,0.0261487585892251,NA,NA,0.00512515668348813
"30",0,0.5,2,0.5,NA,NA,0.1566,NA,NA,0.0259065921176737,NA,NA,0.00507769205506405
"31",0,0.75,0,0.5,NA,NA,0.17704,NA,NA,0.0230072101127389,NA,NA,0.00450941318209683
"32",0,0.75,0.5,0.5,NA,NA,0.65152,NA,NA,0.0597997466296446,NA,NA,0.0117207503394104
"33",0,0.75,1,0.5,NA,NA,0.38772,NA,NA,0.0422947999287158,NA,NA,0.0082897807860283
"34",0,0.75,1.5,0.5,NA,NA,0.28532,NA,NA,0.0319446743953076,NA,NA,0.00626115618148029
"35",0,0.75,1.625,0.5,NA,NA,0.28268,NA,NA,0.0345969228502633,NA,NA,0.00678099687865161
"36",0,0.75,2,0.5,NA,NA,0.23428,NA,NA,0.0283997723706911,NA,NA,0.00556635538465546
"37",0,1,0,0.5,NA,NA,0.23792,NA,NA,0.0307822853425325,NA,NA,0.00603332792713637
"38",0,1,0.5,0.5,NA,NA,0.92656,NA,NA,0.0667139710959701,NA,NA,0.0130759383348101
"39",0,1,1,0.5,NA,NA,0.50928,NA,NA,0.0527601931364734,NA,NA,0.0103409978547488
"40",0,1,1.5,0.5,NA,NA,0.38508,NA,NA,0.0429191582095239,NA,NA,0.00841215500906668
"41",0,1,1.625,0.5,NA,NA,0.35936,NA,NA,0.0407077586727839,NA,NA,0.00797872069986565
"42",0,1,2,0.5,NA,NA,0.32192,NA,NA,0.0337045031910209,NA,NA,0.00660608262544009
